Action,Adventure,Fantasy,Sci-Fi;Avatar;avatar,future,marine,native,paraplegic
Action,Adventure,Fantasy;Pirates of the Caribbean: At World's End;goddess,marriage ceremony,marriage proposal,pirate,singapore
Action,Adventure,Thriller;Spectre;bomb,espionage,sequel,spy,terrorist
Action,Thriller;The Dark Knight Rises;deception,imprisonment,lawlessness,police officer,terrorist plot
Documentary;Star Wars: Episode VII - The Force Awakens            ;
Action,Adventure,Sci-Fi;John Carter;alien,american civil war,male nipple,mars,princess
Action,Adventure,Romance;Spider-Man 3;sandman,spider man,symbiote,venom,villain
Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance;Tangled;17th century,based on fairy tale,disney,flower,tower
Action,Adventure,Sci-Fi;Avengers: Age of Ultron;artificial intelligence,based on comic book,captain america,marvel cinematic universe,superhero
Adventure,Family,Fantasy,Mystery;Harry Potter and the Half-Blood Prince;blood,book,love,potion,professor
Action,Adventure,Sci-Fi;Batman v Superman: Dawn of Justice;based on comic book,batman,sequel to a reboot,superhero,superman
Action,Adventure,Sci-Fi;Superman Returns;crystal,epic,lex luthor,lois lane,return to earth
Action,Adventure;Quantum of Solace;action hero,attempted rape,bond girl,official james bond series,revenge
Action,Adventure,Fantasy;Pirates of the Caribbean: Dead Man's Chest;box office hit,giant squid,heart,liar's dice,monster
Action,Adventure,Western;The Lone Ranger;horse,outlaw,texas,texas ranger,train
Action,Adventure,Fantasy,Sci-Fi;Man of Steel;based on comic book,british actor playing american character,final battle,origin of hero,reboot
Action,Adventure,Family,Fantasy;The Chronicles of Narnia: Prince Caspian;brother brother relationship,brother sister relationship,good versus evil,king,narnia
Action,Adventure,Sci-Fi;The Avengers;alien invasion,assassin,battle,iron man,soldier
Action,Adventure,Fantasy;Pirates of the Caribbean: On Stranger Tides;blackbeard,captain,pirate,revenge,soldier
Action,Adventure,Comedy,Family,Fantasy,Sci-Fi;Men in Black 3;alien,criminal,m.i.b.,maximum security prison,prison
Adventure,Fantasy;The Hobbit: The Battle of the Five Armies;army,elf,hobbit,middle earth,orc
Action,Adventure,Fantasy;The Amazing Spider-Man;lizard,outcast,spider,spider man,teenager
Action,Adventure,Drama,History;Robin Hood;1190s,archer,england,king of england,robin hood
Adventure,Fantasy;The Hobbit: The Desolation of Smaug;dwarf,elf,lake town,mountain,sword and sorcery
Adventure,Family,Fantasy;The Golden Compass;children,epic,friend,girl,quest
Action,Adventure,Drama,Romance;King Kong;animal name in title,ape abducts a woman,gorilla,island,king kong
Drama,Romance;Titanic;artist,love,ship,titanic,wet
Action,Adventure,Sci-Fi;Captain America: Civil War;based on comic book,knife,marvel cinematic universe,returning character killed off,superhero
Action,Adventure,Sci-Fi,Thriller;Battleship;box office flop,hawaii,naval,oahu hawaii,ship
Action,Adventure,Sci-Fi,Thriller;Jurassic World;dinosaur,disaster film,experiment gone wrong,jurassic park,velociraptor
Action,Adventure,Thriller;Skyfall;brawl,childhood home,computer cracker,intelligence agency,terrorist cell
Action,Adventure,Fantasy,Romance;Spider-Man 2;death,doctor,scientist,super villain,tentacle
Action,Adventure,Sci-Fi;Iron Man 3;armor,explosion,human bomb,missile attack,terrorist
Adventure,Family,Fantasy;Alice in Wonderland;alice in wonderland,mistaking reality for dream,queen,shrinking,shrinking potion
Action,Adventure,Fantasy,Sci-Fi,Thriller;X-Men: The Last Stand;battle,mutant,outrage,walking through a wall,x men
Adventure,Animation,Comedy,Family,Fantasy;Monsters University;cheating,fraternity,monster,singing in a car,university
Action,Adventure,Sci-Fi;Transformers: Revenge of the Fallen;autobot,decepticon,machine,sun,symbol
Action,Adventure,Sci-Fi;Transformers: Age of Extinction;blockbuster,bumblebee the character,semi truck and trailer,texas,truck
Adventure,Family,Fantasy;Oz the Great and Powerful;circus,magic,magician,oz,witch
Action,Adventure,Fantasy,Sci-Fi;The Amazing Spider-Man 2;costumed hero,death of girlfriend,masked vigilante,returning character killed off,teenager
Action,Adventure,Sci-Fi;TRON: Legacy;arcade,bridge,disappearance,escape,warrior
Adventure,Animation,Comedy,Family,Sport;Cars 2;best friend,car race,conspiracy,gadget car,spy
Action,Adventure,Sci-Fi;Green Lantern;autopsy,lantern,planet,ring,test pilot
Adventure,Animation,Comedy,Family,Fantasy;Toy Story 3;college,day care,escape,teddy bear,toy
Action,Adventure,Sci-Fi;Terminator Salvation;death row,future,machine,rescue,skynet
Action,Crime,Thriller;Furious 7;car falling off a cliff,hospital,revenge,star died before release,terrorist
Action,Adventure,Horror,Sci-Fi,Thriller;World War Z;chaos,disease,infection,pandemic,zombie
Action,Adventure,Fantasy,Sci-Fi,Thriller;X-Men: Days of Future Past;dystopia,super strength,supernatural power,time paradox,time travel
Action,Adventure,Sci-Fi;Star Trek Into Darkness;admiral,captain,manhunt,mission,space
Adventure,Fantasy;Jack the Giant Slayer;bean,giant,king,no opening credits,princess
Drama,Romance;The Great Gatsby;ingratitude,mansion,party,title appears in writing,tragedy
Action,Adventure,Fantasy,Romance;Prince of Persia: The Sands of Time;alamut,dagger,king,persia,princess
Action,Adventure,Sci-Fi;Pacific Rim;giant monster,kaiju,pilot,portal,robot
Action,Adventure,Sci-Fi;Transformers: Dark of the Moon;autobot,decepticon,job interview,moon,spacecraft
Action,Adventure,Fantasy;Indiana Jones and the Kingdom of the Crystal Skull;cult figure,femme fatale,indiana jones,unsubtitled foreign language,year 1957
Adventure,Animation,Comedy,Family,Fantasy;The Good Dinosaur;apatosaurus,asteroid,dinosaur,fear,river
Adventure,Animation,Comedy,Family,Fantasy;Brave;archery,coming of age,female warrior,princess,rebellious daughter
Action,Adventure,Sci-Fi,Thriller;Star Trek Beyond;hatred,sequel,space opera,star trek,third part
Adventure,Animation,Family,Sci-Fi;WALL·E;earth,obesity,plant,robot,soil
Action,Comedy,Crime,Thriller;Rush Hour 3;ambassador,assassination,chinese,french,triad
Action,Adventure,Sci-Fi;2012;ark,catastrophe,geologist,president,writer
Animation,Drama,Family,Fantasy;A Christmas Carol;charles dickens,christmas,christmas eve,ghost,scrooge
Action,Adventure,Sci-Fi;Jupiter Ascending;box office flop,critically bashed,planet earth,space opera,woman in bra and panties
Action,Adventure,Drama,Romance;The Legend of Tarzan;africa,capture,jungle,male objectification,tarzan
Adventure,Family,Fantasy;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;hide and seek,lion,magic,professor,snow
Action,Adventure,Sci-Fi;X-Men: Apocalypse;mutant,superhero,superhero team,x men,year 1983
Action,Crime,Drama,Thriller;The Dark Knight;based on comic book,dc comics,psychopath,star died before release,urban setting
Adventure,Animation,Comedy,Family;Up;balloon,house,promise,retirement,skeleton
Action,Adventure,Animation,Comedy,Family,Sci-Fi;Monsters vs. Aliens;alien,alien invasion,alien space craft,giant,giantess
Action,Adventure,Sci-Fi;Iron Man;afghanistan,billionaire,inventor,playboy,u.s. air force
Adventure,Drama,Family,Mystery;Hugo;automaton,mechanical,railway station,steampunk,train
Action,Comedy,Sci-Fi,Western;Wild Wild West;buddy movie,general,inventor,steampunk,utah
Action,Adventure,Fantasy,Horror,Thriller;The Mummy: Tomb of the Dragon Emperor;army,china,emperor,mummy,shangri la
Action,Adventure,Comedy,Sci-Fi;Suicide Squad;based on comic book,critically bashed,father daughter relationship,reference to superman,super villain
Comedy,Family,Fantasy;Evan Almighty;ark,change,congressman,depiction of god,flood
Action,Adventure,Sci-Fi;Edge of Tomorrow;alien,combat,dying repeatedly,end of the world,time loop
Action,Adventure,Sci-Fi,Thriller;Waterworld;future,sail,sea,smoker,water
Action,Adventure,Sci-Fi,Thriller;G.I. Joe: The Rise of Cobra;cobra,gi joe,snake,train,warhead
Adventure,Animation,Comedy,Drama,Family,Fantasy;Inside Out;anger,joy,memory,running away,sadness
Adventure,Drama,Family,Fantasy;The Jungle Book;fire,jungle,remake,tiger,wolf
Action,Adventure,Sci-Fi;Iron Man 2;hammer,military,monaco,revenge,tony stark
Action,Adventure,Drama,Fantasy;Snow White and the Huntsman;evil queen,fairy tale,magic,queen,snow white
Action,Adventure,Family,Fantasy,Romance;Maleficent;curse,dark fantasy,fairy,king,kingdom
Action,Adventure,Drama,Sci-Fi;Dawn of the Planet of the Apes;ape,dam,leader,post apocalypse,sequel
Action,Adventure,Romance,Sci-Fi;The Lovers;1770s,british india,great barrier reef,india,ring
Action,Adventure,Drama,Fantasy;47 Ronin;box office flop,ronin,samurai,shogun,tournament
Action,Adventure,Sci-Fi;Captain America: The Winter Soldier;conspiracy,heroism,megalomaniac,super soldier,world domination
Adventure,Animation,Comedy,Family,Fantasy;Shrek Forever After;alternate world,fairy tale parody,female warrior,ogre,true love
Action,Adventure,Family,Mystery,Sci-Fi;Tomorrowland;boy genius,futuristic city,inventor,teenage girl,time travel
Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi;Big Hero 6;high tech,martial arts,masked man,robot,superhero
Adventure,Animation,Comedy,Family,Sci-Fi;Wreck-It Ralph;arcade,candy,glitch,king,medal
Adventure,Animation,Family,Fantasy;The Polar Express;boy,christmas,christmas eve,north pole,train
Action,Adventure,Sci-Fi;Independence Day: Resurgence;alien,battle,defense,independence day,mothership
Adventure,Animation,Family,Fantasy;How to Train Your Dragon;dragon,island,training,viking,village
Action,Sci-Fi;Terminator 3: Rise of the Machines;drifter,exploding truck,future,machine,skynet
Action,Adventure,Sci-Fi;Guardians of the Galaxy;bounty hunter,outer space,raccoon,talking animal,tree
Adventure,Drama,Sci-Fi;Interstellar;black hole,father daughter relationship,saving the world,space travel,wormhole
Action,Adventure,Sci-Fi,Thriller;Inception;ambiguous ending,corporate espionage,dream,subconscious,thief
Action,Adventure,Drama,Horror,Sci-Fi;Godzilla Resurgence;blood,godzilla,monster,sequel
Adventure,Fantasy;The Hobbit: An Unexpected Journey;dragon,dwarf,hobbit,orc,wizard
Action,Crime,Thriller;The Fast and the Furious;eighteen wheeler,illegal street racing,truck,trucker,undercover cop
Drama,Fantasy,Romance;The Curious Case of Benjamin Button;deformed baby,diary,lingerie slip,older man younger woman relationship,premature aging
Action,Adventure,Sci-Fi;X-Men: First Class;cia,cia agent,mutant,nuclear war,professor
Adventure,Sci-Fi;The Hunger Games: Mockingjay - Part 2;death of sister,dystopia,execution,rebellion,revolution
Action,Adventure,Family,Fantasy;The Sorcerer's Apprentice;chosen one,enchanted object,love,spell,training
Action,Adventure,Drama,Thriller;Poseidon;cruise,escape,ocean,passenger,water
Adventure,Family,Fantasy;Alice Through the Looking Glass;clock,dark fantasy,mad hatter,queen,sequel
Adventure,Animation,Comedy,Family,Fantasy;Shrek the Third;disney spoof,fairy tale,prince,princess,tough guy
Action,Adventure,Fantasy;Warcraft;based on video game,fictional language,fictional war,orc,sword and sorcery
Action,Adventure,Sci-Fi;Terminator Genisys;alternate timeline,cyborg,future,robot,time machine
Adventure,Family,Fantasy;The Chronicles of Narnia: The Voyage of the Dawn Treader;dragon,king,mouse,quest,warrior
Action,Drama,History,Romance,War;Pearl Harbor;air raid,black smoke,japanese military,japanese navy,sunday
Action,Adventure,Sci-Fi;Transformers;alien contact,autobot,decepticon,robot vs. robot,teenage hero
Action,Adventure,Biography,Drama,History,Romance,War;Alexander;ancient greece,conquest,greek,greek myth,king
Adventure,Family,Fantasy,Mystery;Harry Potter and the Order of the Phoenix;battle,magic,school,teacher,wizard
Adventure,Family,Fantasy,Mystery;Harry Potter and the Goblet of Fire;fire,goblet,magic,tournament,wizard
Action,Drama;Hancock;bully comeuppance,destruction,prison,superhero,tough girl
Drama,Horror,Sci-Fi;I Am Legend;new york city,pandemic,post apocalypse,survivalist,virus
Adventure,Comedy,Family,Fantasy;Charlie and the Chocolate Factory;chocolate,diminution,miniaturization,physical flexability,ticket
Animation,Comedy,Family,Fantasy;Ratatouille;chef,food,french,rat,restaurant
Action,Adventure;Batman Begins;armored car,gangster,gotham,mixed martial arts,social decay
Action,Adventure,Animation,Comedy,Family;Madagascar: Escape 2 Africa;africa,madagascar,new york city,sequel,zoo
Adventure,Comedy,Family,Fantasy;Night at the Museum: Battle of the Smithsonian;hdtv,motorcycle,museum,security guard,tyrannosaurus rex
Action,Adventure,Fantasy,Sci-Fi,Thriller;X-Men Origins: Wolverine;army,civil war,claw fight,commando,wolverine the character
Action,Sci-Fi;The Matrix Revolutions;battle,epic,fight,future,machine
Adventure,Animation,Comedy,Family,Fantasy,Musical;Frozen;magic,sister love,sister sister relationship,snow,snowman
Action,Sci-Fi;The Matrix Reloaded;car motorcycle chase,one against many,oracle,prophecy,stylized violence
Action,Adventure,Fantasy;Thor: The Dark World;arrest,portal,thor,warrior,weapon
Action,Adventure,Sci-Fi,Thriller;Mad Max: Fury Road;australia,desert,escape,on the run,post apocalypse
Mystery,Thriller;Angels & Demons;conclave,illuminati,murder,reference to bernini,reference to raphael
Action,Adventure,Fantasy;Thor;battle,marvel cinematic universe,scientist,thor,throne
Adventure,Animation,Comedy,Drama,Family;Bolt;cat,dog,hamster,new york city,superpower
Action,Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi;G-Force;fbi director,guinea pig,household appliance,secret agent,talking mouse
Action,Adventure,Fantasy;Wrath of the Titans;ares,hades,titan,underworld,zeus
Comedy,Fantasy,Horror;Dark Shadows;camera shot of feet,cartoon on tv,female stockinged feet,female stockinged soles,foot closeup
Action,Adventure,Thriller;Mission: Impossible - Rogue Nation;capture,computer hacker,mission,rogue agent,spy
Drama,Fantasy,Horror,Thriller;The Wolfman;asylum,death,full moon,transformation,werewolf
Action,Adventure,Drama,Romance;The Legend of Tarzan;africa,capture,jungle,male objectification,tarzan
Adventure,Animation,Comedy,Family;Bee Movie;bee,dream sequence,egg,scatological humor,squashed bug
Action,Adventure,Animation,Comedy,Family;Kung Fu Panda 2;china,kung fu,panda,peacock,tigress
Action,Adventure,Family,Fantasy;The Last Airbender;avatar,fire,kingdom,tribe,water
Action,Adventure,Thriller;Mission: Impossible III;arms dealer,fictional government agency,mission,rescue,vatican
Action,Drama,Thriller;White House Down;black u.s. president,president,secret service,tour,white house
Action,Adventure,Animation,Comedy,Family,Sci-Fi;Mars Needs Moms;boy,martian,rescue,robot,sexism
Adventure,Animation,Comedy,Family;Flushed Away;boat,frog,rat,sewer,toad
Adventure,Family,Fantasy;Pan;1940s,child hero,fantasy world,orphan,reference to peter pan
Adventure,Animation,Comedy,Family,Sci-Fi;Mr. Peabody & Sherman;dog,father son relationship,inventor,talking dog,time travel
Adventure;Troy;greek,mythology,prince,trojan,troy
Adventure,Animation,Comedy,Family;Madagascar 3: Europe's Most Wanted;animal,circus,island name in title,lemur,penguin
Action,Adventure,Thriller;Die Another Day;catfight,clinic,colonel,diamond,patricide
Action,Comedy,Fantasy,Sci-Fi;Ghostbusters;ghost,ghostbuster,ghostbusters,male objectification,reboot
Action,Adventure,Sci-Fi,Thriller;Armageddon;asteroid,astronaut,bomb,meteorite,outer space
Action,Adventure,Comedy,Family,Fantasy,Mystery,Sci-Fi;Men in Black II;alien,lingerie,lingerie model,m.i.b.,pug
Action,Adventure,Animation,Fantasy;Beowulf;creature,demon,king,reward,warrior
Action,Adventure,Animation,Comedy,Family;Kung Fu Panda 3;china,kung fu,panda,pig,village
Action,Adventure,Thriller;Mission: Impossible - Ghost Protocol;dubai,kremlin,race against time,russian,terrorist
Adventure,Animation,Family,Fantasy;Rise of the Guardians;belief,box office hit,children,new york city,tooth
Comedy,Crime;Fun with Dick and Jane;animal abuse,ceo,heist,suburb,unemployment
Action,Drama,History,War;The Last Samurai;captain,emperor,honor,japan,samurai
Action,Adventure,Drama;Exodus: Gods and Kings;egypt,exodus,moses,pharaoh,plague
Action,Adventure,Sci-Fi;Star Trek;box office hit,future,lifted by the throat,star trek,vulcan
Action,Adventure,Fantasy,Romance;Spider-Man;evil,goblin,spider,spider man,superhero
Action,Adventure,Animation,Comedy,Family,Fantasy;How to Train Your Dragon 2;dragon,father son relationship,husband wife relationship,mother son relationship,viking
Action,Adventure,Fantasy;Gods of Egypt;ancient egypt,egypt,egyptian,egyptian god,egyptian goddess
Action,Adventure,Sci-Fi,Thriller;Stealth;artificial intelligence,box office flop,fighter jet,navy,pilot
Action,Drama,Mystery,Sci-Fi;Watchmen;conspiracy,cynicism,false promise of the american dream,male full frontal nudity,male nudity
Action,Crime,Thriller;Lethal Weapon 4;kung fu,lapd,martial arts,private investigator,triad
Action,Sci-Fi;Hulk;1980s,c 130 hercules,monster,panzer,san francisco california
Action,Adventure,Sci-Fi,Thriller;G.I. Joe: Retaliation;general,gi joe,martial arts,ninja,president
Action,Adventure,Comedy,Thriller;Sahara;beach,civil war,desert,dictator,ship
Action,Adventure,Animation,Fantasy,Romance,Sci-Fi;Final Fantasy: The Spirits Within;general,military,scientist,soldier,year 2065
Action,Adventure,Sci-Fi;Captain America: The First Avenger;arctic,captain america,scientist,tesseract,war bond
Action,Adventure,Thriller;The World Is Not Enough;british,oil,scientist,terrorist,tycoon
Action,Adventure,Drama,History,War;Master and Commander: The Far Side of the World;1800s,napoleonic wars,pursuit,royal navy,ship
Adventure,Drama,Fantasy,Romance;The Twilight Saga: Breaking Dawn - Part 2;battle,friend,super strength,vampire,vision
Animation,Comedy,Family,Musical;Happy Feet 2;3d,antarctica,krill,penguin,sequel
Action,Adventure,Sci-Fi;The Incredible Hulk;antidote,cure,hulk,marvel cinematic universe,opening action scene
Action,Crime,Drama,Mystery,Thriller;Miami Vice            ;cult tv,detective,drugs,police,undercover
Adventure,Family,Fantasy;The BFG;cannibal,evil brother,giant,london england,queen
Adventure,Drama,Thriller,Western;The Revenant;bear attack,cauterizing a wound,native american,revenge,survival
Adventure,Animation,Comedy,Family,Sport;Turbo;accident,freak accident,race,snail,underdog
Adventure,Animation,Comedy,Family,Western;Rango;chameleon,lizard,sheriff,water,western town
Adventure,Animation,Comedy,Family;Penguins of Madagascar;little girl,park,spy,statue of liberty,television van
Action,Mystery,Thriller;The Bourne Ultimatum;action hero,cia,dark past,flashback,memory
Action,Adventure,Animation,Comedy,Family;Kung Fu Panda;kung fu,kung fu master,master,panda,snow leopard
Action,Adventure,Comedy,Sci-Fi;Ant-Man;ant,chinatown san francisco,heist,sabotage,vault
Adventure,Sci-Fi,Thriller;The Hunger Games: Catching Fire;president,snow,television,tour,uprising
Adventure,Drama,Fantasy,Romance;The Twilight Saga: Breaking Dawn - Part 2;battle,friend,super strength,vampire,vision
Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi;Home;alien friendship,alien invasion,australia,flying car,mother daughter relationship
Adventure,Sci-Fi,Thriller;War of the Worlds;alien,fight,storm,survival,tripod
Action,Comedy,Crime,Thriller;Bad Boys II;cuba,dea,drugs,money,undercover
Action,Adventure,Animation,Comedy,Family,Fantasy;Puss in Boots;betrayal,egg,friend,goose,hero
Action,Crime,Mystery,Thriller;Salt;cia,on the run,russian,russian spy,strong female lead
Action,Adventure,Drama;Noah;ark,flood,noah's ark,water,wrath of god
Action,Adventure,Family,Mystery;The Adventures of Tintin;captain,morocco,ship,tintin,treasure
Adventure,Family,Fantasy,Mystery;Harry Potter and the Prisoner of Azkaban;magic,muggle,serial killer,traitor,wizard
Adventure,Drama,Romance,War;Australia;australia,cattle,darwin,drover,japanese
Action,Adventure,Sci-Fi;After Earth;box office flop,father son team,fear,race against time,real life father and son playing father and son
Adventure,Animation,Family,Thriller;Dinosaur;egg,iguanodon,lemur,meteor,nesting grounds
Action,Fantasy;Harry Potter and the Deathly Hallows: Part II;
Adventure,Comedy,Family,Fantasy;Night at the Museum: Secret of the Tomb;museum,museum of natural history manhattan new york city,night watchman,star died before release,tablet
Action,Animation,Comedy,Family,Sci-Fi;Megamind;battle,city,planet,prison,superhero
Adventure,Family,Fantasy;Harry Potter and the Sorcerer's Stone;based on novel,birthday,evil wizard,quidditch,wizard
Action,Comedy,Fantasy;R.I.P.D.;drug dealer,gold,partner,police,undead
Action,Adventure,Drama,Horror,Sci-Fi;Godzilla Resurgence;blood,godzilla,monster,sequel
Action,Adventure,Fantasy;Pirates of the Caribbean: The Curse of the Black Pearl;caribbean,curse,governor,pirate,undead
Fantasy;Harry Potter and the Deathly Hallows: Part I;
Adventure,Sci-Fi,Thriller;The Hunger Games: Mockingjay - Part 1;based on young adult novel,manipulation,rebellion,symbol,uprising
Mystery,Thriller;The Da Vinci Code;based on supposedly true story,holy grail,mary magdalene,opus dei,secret
Adventure,Animation,Comedy,Family,Musical;Rio 2;amazon,bird,father in law,jungle,no opening credits
Action,Adventure,Fantasy,Sci-Fi,Thriller;X-Men 2;mutant,prison,professor,school,x men
Action,Crime,Thriller;Fast Five;drug lord,drugs,federal agent,heist,police
Action,Adventure,Crime,Mystery,Thriller;Sherlock Holmes: A Game of Shadows;factory,gypsy,investigation,sherlock holmes,train
Action,Adventure,Fantasy;Clash of the Titans;famous line,hand to hand combat,kraken,rape,zeus
Action,Sci-Fi;Total Recall;ambiguous ending,false memory,implanted memory,memory,space colony
Action,Adventure,History;The 13th Warrior;arab,battle,combat,viking,warrior
Action,Adventure,Thriller;The Bourne Legacy;assassin,cia,drone,pill,wolf
Action;Batman & Robin;butler,critically bashed,cure,freeze,gotham
Comedy,Family,Fantasy;How the Grinch Stole Christmas;box office hit,christmas,materialism,public humiliation,snowflake
Action,Adventure,Sci-Fi,Thriller;The Day After Tomorrow;climate,end of the world,global warming,natural disaster,weather
Action,Adventure,Thriller;Mission: Impossible II;cure,mission,terrorist,thief,virus
Action,Adventure,Drama,Thriller;The Perfect Storm;death,fish,fishing,sea,storm
Action,Adventure,Sci-Fi,Thriller;Fantastic 4: Rise of the Silver Surfer;fantastic four,space,strong female character,strong female lead,superheroine
Adventure,Drama,Fantasy;Life of Pi;animal,faith,india,journey,tiger
Action,Fantasy,Thriller;Ghost Rider;blackheart,devil,father,ghost,mephistopheles
Action,Thriller;Jason Bourne;black ops,chase,cia,cia agent,repeated scene
Action,Adventure,Comedy,Crime;Charlie's Angels: Full Throttle;fbi,murder,ring,witness protection,witness protection program
Adventure,Mystery,Sci-Fi;Prometheus;cave painting,medical scanner,planet,pregnant with an alien fetus,suspended animation
Adventure,Animation,Comedy,Family,Fantasy;Stuart Little 2;anthropomorphic mouse,falcon,marshmallow,second part,soccer
Action,Drama,Sci-Fi,Thriller;Elysium;christ figure,class differences,messiah,saviour,social commentary
Action,Adventure,Sci-Fi,Thriller;The Chronicles of Riddick;bounty hunter,escape,necromonger,planet,warrior
Action,Crime,Sci-Fi,Thriller;RoboCop;law enforcement,police,robocop,robot,technology
Action,Family,Sport;Speed Racer;based on anime,based on cartoon,gadget car,racer,speed
Comedy,Drama,Romance;How Do You Know;embarrassment,falling in love,love,love triangle,revelation
Action,Comedy,Romance;Knight and Day;chase,fbi,garage,spy,surveillance
Action,Adventure,Mystery,Sci-Fi;Oblivion;cabin in the woods,drone,flying through a thunderstorm,post apocalypse,sex in a pool
Action,Adventure,Fantasy,Sci-Fi;Star Wars: Episode III - Revenge of the Sith;elongated cry of no,friends become enemies,kicked in the butt,robotic midwife,vision
Action,Adventure,Fantasy,Sci-Fi;Star Wars: Episode II - Attack of the Clones;martial arts,murdered before giving protagonist information,part computer animation,prequel,prequel to cult film
Adventure,Animation,Comedy,Family,Fantasy;Monsters, Inc.;friend,little girl,monster,rival,scream
Action,Adventure,Sci-Fi,Thriller;The Wolverine;healing power,marvel comics,mecha,regeneration,self healing
Action,Adventure,Fantasy,Sci-Fi;Star Wars: Episode I - The Phantom Menace;alien,character says i have a bad feeling about this,hand to hand combat,seven word title,wilhelm scream
Adventure,Animation,Comedy,Family,Fantasy;The Croods;cave,caveman,journey,strict father,survival
Adventure,Comedy,Family,Fantasy;Asterix at the Olympic Games;1st century b.c.,lightsaber,local blockbuster,magical potion,potion
Action,Drama,War;Windtalkers;code,duty,steel helmet,u.s. marine,u.s. soldier
Action,Adventure,Drama,Fantasy;The Huntsman: Winter's War;based on fairy tale,dark fantasy,fairy tale,second part,sequel
